"subject","a","v.go","v.ng","z","t0","st0"
"11",1.26819875803494,2.4331552861874,0.24418198403399,0.62578253278189,0.169668313228749,0.0191600836593779
"12",1.04952160367631,0.976238825406934,0.937174775459843,0.861932721651067,0.19321309938624,0.0649779027203758
"13",0.8255212148247,2.20023567443111,0.613987809322198,0.838951935185088,0.192730625237321,0.0951676461856181
"14",1.14514884973957,4.06009943041444,1.54859378429501,0.573898853202705,0.209037981680244,0.115533457412061
"15",1.18253587391273,4.57558370737919,2.1047599854092,0.597940207416852,0.223129930035926,0.109713628551452
"16",0.987116971747641,1.90475113624071,0.424809250545187,0.892065749754964,0.195843314617318,0.0726238770552229
"17",0.648587568398358,3.61815145417607,0.738621514644853,0.536502465138497,0.218676363734148,0.114960720176601
"18",0.991325039150676,2.47980503469688,0.965706746170599,0.65935815371681,0.20645422623508,0.12999837863975
"19",0.974357383641315,2.87217838431183,1.03966547060879,0.73607064350492,0.196216888336282,0.135087099113531
"21",1.1652018749439,3.3371747423459,1.64254332811204,0.820237721466321,0.1999989232132,0.135538608209081
"22",0.866038501517327,4.18895670572083,2.77010949433638,0.677781762551558,0.18478296245505,0.440532740053256
"24",0.895518017209542,2.3174320596697,1.21492806258996,0.608252726186465,0.186482891355889,0.129991963385609
"25",1.00114374854153,3.21293344497566,1.18465623586464,0.707162314044679,0.186090660555041,0.152723885749099
"27",1.33599956460308,3.79462622235285,1.13011602308151,0.519381285318062,0.180662619735499,0.139645942496281
"29",1.2381238746987,2.87445229909342,1.23794180096192,0.677263973775832,0.185467407262505,0.0858293054416866
"32",0.97590490972794,4.11323983901506,1.5259951787052,0.669277293510964,0.191925499919013,0.095798001473502
"33",1.2789277539632,3.4466747666669,2.04941260191718,0.606164633714866,0.203562874177824,0.370606115127882
"34",0.935348771375715,3.10397764530004,0.871429345065976,0.649098903024126,0.188970745794862,0.122302411523885
"35",1.25447551947373,1.71383795083842,1.77662829642243,0.765511040188693,0.18257553605774,0.160064944570866
"36",0.814120132150825,4.09148463279951,1.26988629425574,0.715501952221853,0.191654945077121,0.0705322230224577
"37",1.18719801125437,2.21126875511876,1.47799507813612,0.711940839576067,0.177481829907354,0.152342599190026
"38",1.19738886807988,2.73651547759279,1.71197596143717,0.642867933884635,0.206276467086061,0.0823794300668734
"39",0.855781371774454,2.95803597691666,1.15352714396065,0.74893105992205,0.194616776776896,0.0935090347256974
"110",0.841953359465598,4.10934634508577,1.92320459356276,0.627669120383389,0.23338041974326,0.325333127696284
"111",1.07268107262106,2.99559682648521,0.862204904982376,0.61642781120646,0.194393409090062,0.0899583937650088
"114",1.22815589842368,1.56551972655558,0.935875424127933,0.783775371240334,0.181727590435762,0.0997652586371591
"115",0.922509283512409,2.67928210367061,1.11793039556774,0.629291102550254,0.188121664150557,0.131981137831992
"116",1.17508457990565,2.39976374108992,1.91351930839693,0.891144588086506,0.197813016909032,0.11265628879972
"117",1.002446631726,3.585619116505,2.40863199852084,0.703516465704638,0.197029556470591,0.247454795878546
"118",1.08331207280978,2.59805282548638,1.60406312740175,0.7699170162388,0.186712523656399,0.139528621546434
"119",1.35089050800932,2.60767393107752,1.00436385581336,0.665016733332679,0.18374380455761,0.102946761716388
"210",1.2634109901404,3.2708568762815,1.14494156920603,0.612190389556256,0.18638737696007,0.1198747335851
"211",1.18851129637366,3.64525243432255,1.40177621970754,0.732065606956646,0.207058413161584,0.100840868871604
"212",1.13702043123945,2.72648076287121,1.34308016144641,0.572927590802908,0.216328134195412,0.0619145309340378
"213",1.10892926297449,2.6022901602789,0.839958664040266,0.614413693672879,0.179516504065163,0.0885836210221244
"215",0.994846717056138,2.91136214036944,1.32707467684488,0.770221503880073,0.18608695968583,0.185896612224144
"216",0.708556303167962,3.69492609021964,0.86277907302574,0.651907448591928,0.189278611305805,0.10787265056766
"217",1.11045213610719,3.34088987786504,1.00255070637318,0.755639631723257,0.190983059774864,0.116328696318923
"218",0.577159645831243,3.79585246248882,0.198758949312308,0.623052084958052,0.19108681029346,0.0872455391173772
"220",1.33267353176732,2.8658338190225,1.30532027890486,0.571792243094894,0.175474281801943,0.121103653152976
"311",1.12966994630028,2.84824905938089,0.895916626568657,0.624697331671124,0.177180754636239,0.0922709927620628
"315",1.05921140981403,4.14158804299525,2.07453309593946,0.692763007321817,0.196394161028161,0.116180999001309
"316",0.739690673579603,3.32868081726222,1.83564703054982,0.768650514917534,0.194394582350142,0.0953857907406395
"318",1.13777784062319,2.48466458745477,1.70018498942044,0.679289517521506,0.185192527511941,0.102820288412954
"319",0.633088244887599,4.25023763783004,-0.279341614095342,0.548136991587879,0.190952384402622,0.107074565218466
