"subject","a","v.ng","v.go","z","t0","st0"
"subject_11",0.722649489829551,1.88043789424604,3.64249945727825,0.740963655559763,0.181515181861268,0.118884997999675
"subject_110",1.05228685725608,2.17879902309658,3.80293310976588,0.673178127113821,0.232411671277432,0.146042529575238
"subject_111",1.14545084065328,2.24127810823192,3.12406768694974,0.65705897865083,0.240674237636351,0.1437187320421
"subject_114",1.2610041374641,2.23819927788237,3.27157253898672,0.607082869272767,0.170856393256999,0.106355069847334
"subject_115",1.3036601785306,2.54574263120289,3.62373277322819,0.614424579976374,0.178398124708203,0.0747101401290528
"subject_116",1.09909389693977,2.83214001733283,2.99699944127413,0.863882515538026,0.198360203699887,0.0930958283982582
"subject_117",1.27595662062905,3.28986919089908,4.6847949268456,0.513028826209217,0.284566453034827,0.133092629239491
"subject_118",0.795850989333501,2.74429668991999,3.61027626979221,0.608556157995649,0.193984543053493,0.0657188968716649
"subject_119",1.20940606834377,2.27478559080401,3.91666061587375,0.584083459463528,0.180083251664981,0.146857318479309
"subject_12",1.41567099033163,1.28259720289771,0.529235897099705,0.80985982285447,0.173574396846018,0.0553568856044069
"subject_13",1.31017316791681,1.29227144397236,1.02106788403995,0.844911048851353,0.183969961102562,0.0616921514530274
"subject_14",1.23201569932173,2.66053060136349,4.85906566934432,0.547657436138352,0.221526769273509,0.13651278792844
"subject_15",1.24165368248112,3.07480930516418,4.46056146924501,0.580044399302555,0.234408438034627,0.115242348036685
"subject_16",1.09521935203003,0.705003042819211,2.25163661441184,0.776898841150627,0.184813126707901,0.0398488421846068
"subject_17",1.10545023229693,2.77113852776236,4.93749103265398,0.595127630646566,0.203943620878089,0.11550933214271
"subject_18",1.06153024237559,1.66745805690754,3.54157194663718,0.625740221385453,0.185531121659705,0.171530090372313
"subject_19",0.955726335959002,1.87632177213401,3.96960296349141,0.657732701338612,0.266145722724285,0.0876343409798542
"Subject_21",0.703634649732506,2.74979019017348,3.72352948669019,0.588719079090849,0.211216044799253,0.100258214588816
"subject_210",1.24116313190164,2.06629025791284,2.52232437035187,0.679286709820801,0.222602948534901,0.0537636573750806
"subject_211",1.13794946052575,3.55046867218943,5.56053678330592,0.554169405116071,0.17017770276031,0.126308000133851
"subject_212",0.8081140208354,3.04760435182251,3.9169485547289,0.687342542699192,0.231949393022495,0.228154701276128
"subject_213",1.02602822237111,3.30138702386722,3.32790795564502,0.442397854962751,0.228577661408826,0.136922400440113
"subject_216",0.78696060509962,1.53449337224442,4.01728006091457,0.708412681993045,0.193117314921532,0.139067149918752
"subject_217",0.892767339958523,1.69003291707288,4.20352180321941,0.687646866167861,0.189048107852396,0.110001868866644
"subject_218",0.850786114757373,3.17707299366724,4.0272302200286,0.62146340495126,0.195167014595863,0.145401107367309
"subject_22",1.01552034735759,2.41017988103814,3.48206892259801,0.568531528300599,0.190425782603137,0.130302182685705
"subject_220",1.62215941325,3.2528816907424,2.80084121735939,0.561139984873258,0.182094045316627,0.0581303955184326
"subject_24",0.903784833392281,2.48987501554582,4.14828315502412,0.644870562473864,0.18922440044651,0.155334809963273
"subject_25",1.01944173410876,1.85669180388154,3.8163782431723,0.695413440145764,0.20718506447508,0.186830056923692
"subject_27",1.26576782289716,2.4898286704257,3.09916502286352,0.649191102589572,0.208395961951206,0.132470949946558
"subject_29",1.06284554285055,3.00484540661036,4.15584605359598,0.645762800178151,0.208219996757884,0.118039517944905
"subject_311",1.19307950907436,0.992261197106003,1.95154492877621,0.59284598321308,0.161259032383213,0.1402533748304
"subject_315",0.897606960048602,2.71306949530446,4.61855617113137,0.65241641921777,0.217687983507236,0.102940979975706
"subject_316",0.728390034463191,1.91860678395371,3.37897866054649,0.764569473712415,0.191754625552681,0.0955465345535321
"subject_318",1.2253115994247,0.360886444609881,1.51642297542639,0.651328874485322,0.160748810730842,0.0993910755569136
"subject_319",0.801657327724848,3.25351196855635,5.183901899641,0.606526461655576,0.219983465616429,0.0824771776346566
"subject_32",1.1446886023003,2.98742153978996,5.14533640479512,0.57308245997811,0.194666310268707,0.0744180003961305
"subject_33",1.55801963073303,2.41733072571474,2.94825001872845,0.395039981089618,0.153787450955638,0.315477340571041
"subject_34",1.25458586531796,1.92677887601629,3.80646852514522,0.558708358594624,0.198008973785534,0.162578644327711
"subject_35",1.21488795465361,2.62567780039704,2.64902450546701,0.523342634865895,0.185428416874012,0.120263545626845
"subject_36",0.746969277178258,2.65387057427303,3.81255883444325,0.778291718249723,0.203442609483279,0.0703414339379453
"subject_37",0.856184765196042,2.37102107570159,2.46042094071597,0.624348592415975,0.167435202765021,0.308142316716248
"subject_38",1.4461491815863,2.82141316116036,3.73429613273741,0.574636463490775,0.171352044666093,0.111950054789851
"subject_39",0.875209101669211,0.493664214979502,1.64332283871657,0.742847775925983,0.186681903736302,0.0971214907875715
