"subject","a","v.go","v.ng","z","t0","st0"
"11",1.1071729771409,1.54178300327875,-0.571538608202747,0.746712318981183,0.188316218141323,0.00560178989920137
"12",1.452031626675,0.631277304491917,0.619936913148815,0.797298823031818,0.185060681814603,0.00736620151507539
"13",1.37230533338653,0.261098870974352,0.547170617350897,0.902243138792085,0.193311496115292,0.0424497409751627
"14",1.07236928067411,4.41565913788232,1.66983052464557,0.573575559456845,0.233982651156014,0.119219205948496
"15",1.33671621959585,4.48196830810669,2.09299204314985,0.583726483360264,0.22429694868147,0.125177424122718
"16",1.28492321614993,0.824245707480378,0.383394704656378,0.90290670593968,0.193722873065569,0.0501515453437794
"17",0.794301350563238,4.40253683984147,0.678926966659009,0.486753598055062,0.192525752805436,0.12853946127618
"18",1.28800063783388,1.93408913393929,1.13021688943373,0.755441190957159,0.184513224052636,0.156311500492344
"19",1.07095374609505,3.23460517343936,0.480552079504984,0.685900606568513,0.209936744841521,0.123098146522626
"21",0.971446082416935,3.34779525402426,1.7992562130647,0.84298986574647,0.193824409818405,0.144587749890734
"22",1.30845728840857,4.30427784999544,1.93460236871921,0.607271622627245,0.217253351882145,0.290101852971222
"24",0.852689730010363,2.19739993690883,1.03068155040333,0.69809466203697,0.191614606998495,0.114008323246677
"25",0.992342290163674,3.79919888049239,0.824215456858868,0.6005496295622,0.195020826160861,0.160334324090611
"27",1.22084665857198,2.79212830217219,1.17151893877906,0.679366779615939,0.196997169295553,0.126549422834172
"29",0.942062540938913,3.77724309975488,1.68221231265385,0.680008069276036,0.187319513292377,0.151407986942001
"32",0.966789289896251,4.28325956894735,1.19255965604511,0.681811047677844,0.190547846244401,0.104171496764223
"33",0.959868839864432,2.79665923935261,1.49973282113521,0.571179392190458,0.178856988683665,0.506569172570169
"34",1.18964900440123,4.0320146945877,1.15925066734383,0.552452530459199,0.190519676044954,0.144243222546621
"35",1.18823408856132,1.95622551674579,1.55055323721398,0.678430727983076,0.174516958236316,0.179078033953487
"36",0.785253362256849,4.14563160911125,0.696361125670872,0.77722171354879,0.194132016245807,0.0649394177234398
"37",1.08605456788773,2.08634952691191,1.45991305356292,0.634940406325671,0.165765786277339,0.218326441584039
"38",1.32616057076426,2.78249791283024,1.88905111084689,0.72638216745325,0.190426069553401,0.129252353091416
"39",0.851414943750086,1.26697320279766,0.76732736593946,0.797815986997053,0.192385456580139,0.0946236561376996
"110",1.18009933714007,4.17470914181052,1.20319481292938,0.563665704046937,0.19452764181458,0.138263022681869
"111",1.2326681699167,3.03517926863013,0.834238497341443,0.657268734134729,0.186574726463229,0.129981343758992
"114",1.30428791859293,2.6045405828169,1.31592355659116,0.66607767222838,0.183516903914103,0.157545354905084
"115",1.09795740949954,2.66941958780602,1.79576628064536,0.707043810321879,0.19425694325038,0.0822279203127469
"116",1.11187161156687,2.34870772069097,1.80649335735669,0.85319151030737,0.193408576595455,0.0910154126069845
"117",0.935076625008786,2.94300014723386,1.26805474276251,0.511145840322149,0.161561578941225,0.261057573081662
"118",1.14510165894445,1.85920642811184,0.856564389385385,0.769871650463831,0.182662529959781,0.0811538610062769
"119",1.26917221181004,3.22333979067138,1.20069483562254,0.64914651443187,0.187061809994052,0.12666348778809
"210",1.27503298768407,2.15546075489222,1.42197726876682,0.739700006491908,0.195362632460173,0.0938885259218225
"211",1.0455330989603,5.16237747503441,1.484635813699,0.57210520220387,0.186209748852338,0.124954449060403
"212",1.19427570560148,3.05695977606116,1.44281287220882,0.60774195522191,0.213719266493187,0.097834796381635
"213",1.16167111137732,2.27043831641194,0.689542933126596,0.614618472636919,0.162233181960796,0.0784396439676814
"215",0.938715087796516,1.93048819478076,1.16770083568546,0.513375643380596,0.170188239376375,0.163248069884275
"216",0.981038895726073,3.18431778817067,1.38659414398666,0.788056174687734,0.196930984887561,0.132642070134764
"217",0.991230610284605,3.46478356175177,1.10108542575428,0.765078556127843,0.188582290628321,0.116035889590235
"218",0.710837094995061,3.59573218821916,0.969936438417681,0.617648187794624,0.188975062219309,0.0944557009976676
"220",1.36634760260657,2.04136909160547,1.40271337472457,0.677950416275377,0.179462288978203,0.0855503653297192
"311",1.25311698716462,1.5754957086964,0.709382531912929,0.725188891325371,0.178572618286959,0.110653076464172
"315",0.904360231938788,4.45226342164574,1.15228255633367,0.638576673905724,0.188168165173285,0.120376074039065
"316",0.874933744945388,3.35813418235233,1.47615992138729,0.80347637989411,0.191860923749911,0.100147780870395
"318",1.31288217396648,1.02379637255091,0.141943978799992,0.697336780602915,0.165948912491881,0.0925955323972407
"319",0.63602861761788,4.69218450710632,-1.05570802809316,0.554661281520188,0.19433567140579,0.0916763591903595
